customer_id,name,city,state,signup_date,care_plus
C100000,Steven Rathore,Kolkata,WB,2024-04-26,N
C100001,Payal Nair,Nagpur,MH,2024-07-06,N
C100002,Varun Chatterjee,Visakhapatnam,AP,2023-09-10,Y
C100003,Steven Bhatia,Lucknow,UP,2024-02-22,Y
C100004,Tarun Chatterjee,Bengaluru,KA,2023-01-29,N
C100005,Daniel Agarwal,Nagpur,MH,2023-04-05,Y
C100006,Zoya Naidu,Nagpur,MH,2023-07-05,Y
C100007,Krishna Kulkarni,Mumbai,MH,2024-07-08,Y
C100008,Thomas Menon,Dehradun,UK,2024-04-11,N
C100009,Komal Rao,Chandigarh,CH,2024-11-04,N
C100010,Manpreet Mehta,Chennai,TN,2023-06-14,Y
C100011,Kavya Banerjee,Ahmedabad,GJ,2023-03-15,N
C100012,Farah Mishra,Vadodara,GJ,2023-03-05,Y
C100013,Reyansh Qureshi,Thiruvananthapuram,KL,2024-05-14,N
C100014,Nisha Roy,Ahmedabad,GJ,2022-07-18,Y
C100015,Aadhya Mittal,Ahmedabad,GJ,2024-07-06,N
C100016,Imran Goyal,Surat,GJ,2023-08-30,N
C100017,Arjun Desai,Chandigarh,CH,2024-11-09,Y
C100018,Geeta Rathore,Thiruvananthapuram,KL,2024-02-20,Y
C100019,Imran Deshpande,Bhopal,MP,2023-12-30,N
C100020,Zaid Varghese,Bengaluru,KA,2024-10-21,N
C100021,Sukhwinder Arora,Visakhapatnam,AP,2023-10-18,Y
C100022,Isha Mukherjee,Bhopal,MP,2024-06-07,N
C100023,Sneha Gupta,Patna,BR,2024-05-30,Y
C100024,Sai Mathew,Raipur,CG,2023-02-05,N
C100025,Komal Chauhan,Mysuru,KA,2024-05-17,N
C100026,Tenzin Kaur,Delhi,DL,2022-12-06,Y
C100027,Meera Bansal,Guwahati,AS,2022-12-05,N
C100028,Varun Chatterjee,Dehradun,UK,2023-05-25,N
C100029,Imran Das,Hyderabad,TS,2023-03-08,N
C100030,Ritika Fernandes,Mysuru,KA,2023-03-21,N
C100031,Arjun Kumar,Ranchi,JH,2024-05-14,Y
C100032,Lobsang Reddy,Lucknow,UP,2023-01-04,Y
C100033,Jaspreet Qureshi,Jaipur,RJ,2023-05-08,N
C100034,Siddharth Desai,Gurugram,HR,2022-12-20,N
C100035,Reyansh Bansal,Ahmedabad,GJ,2024-12-13,N
C100036,Vihaan Jadhav,Mumbai,MH,2022-08-16,N
C100037,Gurpreet Iyer,Jaipur,RJ,2024-10-23,Y
C100038,Zoya Roy,Thiruvananthapuram,KL,2023-11-05,N
C100039,Payal Sandhu,Surat,GJ,2022-11-17,Y
C100040,Ayaan Bansal,Surat,GJ,2022-11-10,N
C100041,Ankit Singh,Nagpur,MH,2024-09-03,Y
C100042,Yash Iyer,Raipur,CG,2024-10-12,N
C100043,Manish Sen,Surat,GJ,2023-06-08,Y
C100044,Kavya Siddiqui,Nagpur,MH,2024-07-05,N
C100045,Karan Kumar,Ranchi,JH,2023-07-17,Y
C100046,Lobsang Ansari,Noida,UP,2023-07-28,N
C100047,Sneha Mittal,Bhubaneswar,OR,2022-11-12,N
C100048,Kunal Joshi,Guwahati,AS,2024-10-27,N
C100049,Ankit Sethi,Kochi,KL,2024-04-13,N
C100050,Aarav Kumar,Bhopal,MP,2022-12-13,Y
C100051,Kavya Saxena,Raipur,CG,2023-02-01,N
C100052,Rajat Sharma,Kochi,KL,2022-07-18,Y
C100053,Mohammed Mehta,Surat,GJ,2024-10-13,Y
C100054,Krishna Verma,Gurugram,HR,2023-11-03,Y
C100055,Yash Jadhav,Dehradun,UK,2024-09-14,N
C100056,Farah Bansal,Bhopal,MP,2022-08-30,Y
C100057,Divya Mukherjee,Gurugram,HR,2022-10-04,Y
C100058,Tanvi Patel,Vadodara,GJ,2024-08-20,Y
C100059,Kabir Kaur,Bengaluru,KA,2024-11-24,N
C100060,Vihaan Kulkarni,Bhopal,MP,2023-05-24,Y
C100061,Faisal Agarwal,Lucknow,UP,2023-02-18,N
C100062,Dev Tiwari,Kochi,KL,2022-09-07,Y
C100063,Ishaan Kapoor,Delhi,DL,2024-04-30,Y
C100064,Suresh Patel,Chennai,TN,2022-09-04,N
C100065,Suresh Deshpande,Kolkata,WB,2023-10-06,Y
C100066,Thomas Menon,Bhubaneswar,OR,2022-11-01,N
C100067,Manish Shinde,Hyderabad,TS,2024-03-08,N
C100068,Ananya Varghese,Kolkata,WB,2023-07-12,N
C100069,Suresh Rao,Hyderabad,TS,2024-10-07,N
C100070,Payal Reddy,Kolkata,WB,2024-08-21,N
C100071,Deepak Malhotra,Raipur,CG,2024-01-01,N
C100072,Sameer Desai,Dehradun,UK,2022-10-09,N
C100073,Sai Pillai,Bhubaneswar,OR,2023-10-08,N
C100074,Aditya Singh,Patna,BR,2022-12-02,N
C100075,Priya Tiwari,Chennai,TN,2024-07-30,Y
C100076,Riya Reddy,Kochi,KL,2022-09-16,N
C100077,Pranav Rao,Coimbatore,TN,2024-02-16,Y
C100078,Vivaan D'Souza,Gurugram,HR,2023-10-11,Y
C100079,Harsh Singh,Vadodara,GJ,2024-02-04,Y
C100080,Tanvi Rao,Patna,BR,2024-05-09,N
C100081,Abhishek Mittal,Bhopal,MP,2024-07-26,N
C100082,Riya Agarwal,Ranchi,JH,2023-11-03,N
C100083,Nikhil Desai,Patna,BR,2023-06-27,N
C100084,Aishwarya Das,Bhubaneswar,OR,2024-09-18,N
C100085,Isha Dutta,Noida,UP,2022-09-16,Y
C100086,Payal Ansari,Kolkata,WB,2023-06-14,Y
C100087,Ayaan Arora,Patna,BR,2024-09-13,N
C100088,Tanvi Yadav,Vadodara,GJ,2023-11-23,Y
C100089,Farah Gupta,Hyderabad,TS,2024-07-26,N
C100090,Dev Verma,Dehradun,UK,2024-03-29,N
C100091,Aishwarya Roy,Noida,UP,2024-07-14,Y
C100092,Arjun Sheikh,Ranchi,JH,2022-08-17,Y
C100093,Lobsang Chatterjee,Visakhapatnam,AP,2024-02-14,N
C100094,Farah Varghese,Jaipur,RJ,2023-08-20,N
C100095,Farah Agarwal,Pune,MH,2022-09-30,N
C100096,Megha Dhillon,Dehradun,UK,2023-09-13,N
C100097,Faisal Khan,Noida,UP,2023-04-04,Y
C100098,Vivaan Qureshi,Coimbatore,TN,2024-06-02,N
C100099,Sai Gill,Ranchi,JH,2024-02-24,N
C100100,Nikhil Jain,Chennai,TN,2024-10-02,N
C100101,Kabir Gill,Jaipur,RJ,2024-07-31,N
C100102,Mohammed Mehta,Bengaluru,KA,2024-06-23,N
C100103,Manpreet Bhatia,Ahmedabad,GJ,2022-10-15,N
C100104,Geeta Pawar,Kolkata,WB,2024-04-06,Y
C100105,Megha Patil,Ranchi,JH,2024-08-30,N
C100106,Payal Dhillon,Patna,BR,2023-01-31,Y
C100107,Simran Jadhav,Jaipur,RJ,2023-11-19,N
C100108,Lakshmi Reddy,Ranchi,JH,2024-03-21,N
C100109,Yash Mittal,Ranchi,JH,2023-10-08,Y
C100110,Aarav Arora,Kolkata,WB,2022-08-20,N
C100111,Daniel Iyer,Bhopal,MP,2023-06-26,N
C100112,Suresh Jadhav,Hyderabad,TS,2023-03-05,N
C100113,Zaid Siddiqui,Nagpur,MH,2022-12-13,N
C100114,Arjun Pereira,Dehradun,UK,2024-08-17,N
C100115,Shreya Rao,Indore,MP,2023-03-25,N
C100116,Reyansh Jadhav,Indore,MP,2022-07-27,N
C100117,Dev Sen,Gurugram,HR,2023-09-23,N
C100118,Payal Ansari,Ahmedabad,GJ,2022-12-11,Y
C100119,Deepak Singh,Patna,BR,2024-01-03,N
C100120,Swati Gaikwad,Visakhapatnam,AP,2024-06-16,N
C100121,Ishaan Sharma,Hyderabad,TS,2023-12-01,Y
C100122,Om Varghese,Guwahati,AS,2024-04-25,N
C100123,Steven Trivedi,Mysuru,KA,2024-10-07,N
C100124,Geeta Sharma,Indore,MP,2024-03-27,Y
C100125,Ramesh Trivedi,Kochi,KL,2023-05-13,N
C100126,Kunal Pillai,Ahmedabad,GJ,2023-08-01,Y
C100127,Nisha Sandhu,Guwahati,AS,2024-01-09,N
C100128,Diya Dutta,Lucknow,UP,2023-12-05,Y
C100129,Ishaan Bansal,Kochi,KL,2022-09-27,N
C100130,Tanvi Menon,Bhopal,MP,2022-11-01,N
C100131,Krishna Shinde,Lucknow,UP,2024-05-11,N
C100132,Ishaan Khan,Chandigarh,CH,2023-02-15,N
C100133,Sukhwinder Singh,Ranchi,JH,2024-07-11,Y
C100134,Bhavna Shinde,Noida,UP,2024-08-28,N
C100135,Saanvi Mittal,Jaipur,RJ,2024-02-01,N
C100136,Varun Pawar,Vadodara,GJ,2023-03-29,N
C100137,Isha Joshi,Raipur,CG,2023-01-05,Y
C100138,Kavya Mittal,Ranchi,JH,2023-11-07,N
C100139,Tanvi Shinde,Nashik,MH,2024-04-04,Y
C100140,Geeta Singh,Lucknow,UP,2022-08-09,N
C100141,Kunal Chatterjee,Nashik,MH,2024-11-03,N
C100142,Reyansh Banerjee,Chennai,TN,2024-08-02,N
C100143,Mohammed Varghese,Guwahati,AS,2024-10-29,N
C100144,Rajat Khanna,Visakhapatnam,AP,2023-03-24,N
C100145,Om Deshpande,Visakhapatnam,AP,2023-03-04,N
C100146,Reyansh Gaikwad,Raipur,CG,2023-03-29,Y
C100147,Ramesh Desai,Lucknow,UP,2023-04-20,N
